iter,pose_x,pose_y,pose_z,xd_x,xd_y,xd_z,F_x,F_y,F_z,tau0,tau1,tau2
286,0.311630,-0.000046,-0.080841,0.315994,-0.000031,-0.080994,0.062866,0.000534,-0.019379,0.000168,0.010544,0.014420
291,0.311646,-0.000046,-0.080841,0.315994,-0.000031,-0.080994,0.071487,0.000534,-0.005646,0.000168,0.016190,0.017319
296,0.311646,-0.000046,-0.080841,0.315994,-0.000031,-0.080994,0.084457,0.000534,-0.003357,0.000168,0.019974,0.020645
301,0.311676,-0.000046,-0.080841,0.315994,-0.000031,-0.080994,0.057068,0.000534,-0.003052,0.000168,0.013290,0.013901
306,0.311691,-0.000046,-0.080826,0.315994,-0.000031,-0.080994,0.064926,0.000534,-0.019684,0.000168,0.010971,0.014908
311,0.311707,-0.000046,-0.080826,0.315994,-0.000031,-0.080994,0.070877,0.000534,-0.005951,0.000168,0.015961,0.017151
316,0.311752,-0.000046,-0.080826,0.315994,-0.000031,-0.080994,0.058365,0.000534,-0.003662,0.000168,0.013458,0.014191
321,0.311783,-0.000046,-0.080811,0.315994,-0.000031,-0.080994,0.033035,0.000534,-0.009232,0.000168,0.005783,0.007614
326,0.311783,-0.000046,-0.080811,0.315994,-0.000031,-0.080994,0.075760,0.000534,-0.004501,0.000168,0.017532,0.018433
331,0.311798,-0.000046,-0.080811,0.315994,-0.000031,-0.080994,0.071182,0.000534,-0.003662,0.000168,0.016617,0.017349
336,0.311813,-0.000046,-0.080811,0.315994,-0.000031,-0.080994,0.073547,0.000534,-0.003662,0.000168,0.017212,0.017929
341,0.311844,-0.000046,-0.080795,0.315994,-0.000031,-0.080994,0.034637,0.000534,-0.009460,0.000168,0.006119,0.007996
346,0.311859,-0.000046,-0.080795,0.315994,-0.000031,-0.080994,0.058289,0.000534,-0.004807,0.000168,0.013138,0.014099
351,0.311874,-0.000046,-0.080795,0.315994,-0.000031,-0.080994,0.066910,0.000534,-0.003967,0.000168,0.015488,0.016281
356,0.311890,-0.000046,-0.080795,0.315994,-0.000031,-0.080994,0.071564,0.000534,-0.003967,0.000168,0.016632,0.017426
361,0.311920,-0.000046,-0.080780,0.315994,-0.000031,-0.080994,0.032959,0.000534,-0.009766,0.000168,0.005615,0.007568
