iter,pose_x,pose_y,pose_z,xd_x,xd_y,xd_z,F_x,F_y,F_z,tau0,tau1,tau2
311,0.313705,-0.000046,-0.080139,0.315994,-0.000031,-0.080994,0.169601,0.002213,-0.091171,0.000687,0.018158,0.036438
316,0.313782,-0.000046,-0.080124,0.315994,-0.000031,-0.080994,0.073853,0.002213,-0.104370,0.000687,-0.008835,0.012054
321,0.313812,-0.000046,-0.080109,0.315994,-0.000031,-0.080994,0.120697,0.002213,-0.140228,0.000687,-0.006592,0.021484
326,0.313858,-0.000046,-0.080109,0.315994,-0.000031,-0.080994,0.082245,0.002213,-0.096970,0.000687,-0.004868,0.014557
331,0.313858,-0.000046,-0.080109,0.315994,-0.000031,-0.080994,0.191879,0.002213,-0.089417,0.000702,0.024078,0.042007
336,0.313889,-0.000046,-0.080109,0.315994,-0.000031,-0.080994,0.159073,0.002213,-0.088501,0.000687,0.016235,0.033981
341,0.313919,-0.000046,-0.080093,0.315994,-0.000031,-0.080994,0.112076,0.002213,-0.106506,0.000687,0.000000,0.021332
346,0.313919,-0.000046,-0.080093,0.315994,-0.000031,-0.080994,0.191727,0.002213,-0.092545,0.000702,0.023224,0.041779
351,0.313950,-0.000046,-0.080093,0.315994,-0.000031,-0.080994,0.118637,0.002213,-0.090027,0.000687,0.005875,0.023911
356,0.313965,-0.000046,-0.080093,0.315994,-0.000031,-0.080994,0.164719,0.002213,-0.090027,0.000702,0.017212,0.035263
361,0.313980,-0.000046,-0.080078,0.315994,-0.000031,-0.080994,0.124969,0.002213,-0.108032,0.000687,0.002762,0.024414
366,0.314026,-0.000046,-0.080078,0.315994,-0.000031,-0.080994,0.051498,0.002213,-0.094070,0.000687,-0.011703,0.007126
371,0.314026,-0.000046,-0.080078,0.315994,-0.000031,-0.080994,0.172806,0.002213,-0.091553,0.000702,0.018799,0.037170
376,0.314041,-0.000046,-0.080063,0.315994,-0.000031,-0.080994,0.167618,0.002213,-0.116882,0.000702,0.010956,0.034393
381,0.314072,-0.000046,-0.080063,0.315994,-0.000031,-0.080994,0.100708,0.002213,-0.096741,0.000687,-0.000290,0.019089
386,0.314087,-0.000046,-0.080063,0.315994,-0.000031,-0.080994,0.126419,0.002213,-0.093307,0.000687,0.006927,0.025620
391,0.314087,-0.000046,-0.080063,0.315994,-0.000031,-0.080994,0.180206,0.002213,-0.093079,0.000702,0.020218,0.038895
