iter,pose_x,pose_y,pose_z,xd_x,xd_y,xd_z,F_x,F_y,F_z,tau0,tau1,tau2
311,0.315643,-0.000061,-0.080444,0.315994,-0.000031,-0.080994,0.048218,0.025787,-0.220642,0.008133,-0.045624,-0.001526
316,0.315659,-0.000046,-0.080475,0.315994,-0.000031,-0.080994,0.098724,-0.038147,-0.153198,-0.012039,-0.015610,0.014984
321,0.315659,-0.000046,-0.080505,0.315994,-0.000031,-0.080994,0.229187,0.000305,-0.050964,0.000107,0.043213,0.053284
326,0.315643,-0.000061,-0.080521,0.315994,-0.000031,-0.080994,0.284882,0.113678,-0.104675,0.035889,0.042938,0.063736
331,0.315659,-0.000046,-0.080536,0.315994,-0.000031,-0.080994,0.117950,-0.044098,-0.136871,-0.013916,-0.006607,0.020706
336,0.315659,-0.000061,-0.080551,0.315994,-0.000031,-0.080994,0.017700,0.055542,-0.157166,0.017532,-0.036606,-0.005188
341,0.315659,-0.000061,-0.080551,0.315994,-0.000031,-0.080994,0.114746,0.022583,-0.316925,0.007126,-0.054321,0.008987
346,0.315689,-0.000046,-0.080566,0.315994,-0.000031,-0.080994,-0.052490,-0.088959,-0.130310,-0.028091,-0.046921,-0.020828
351,0.315659,-0.000061,-0.080597,0.315994,-0.000031,-0.080994,0.200348,0.068817,-0.045929,0.021729,0.037430,0.046509
356,0.315689,-0.000061,-0.080612,0.315994,-0.000031,-0.080994,0.061951,0.024872,-0.116119,0.007843,-0.014999,0.008194
361,0.315674,-0.000061,-0.080627,0.315994,-0.000031,-0.080994,0.286560,0.017548,0.077820,0.005554,0.090958,0.075226
366,0.315674,-0.000061,-0.080612,0.315994,-0.000031,-0.080994,0.182190,0.016632,-0.244751,0.005249,-0.018875,0.029968
371,0.315704,-0.000061,-0.080643,0.315994,-0.000031,-0.080994,0.046997,0.016632,-0.045929,0.005249,-0.000381,0.008774
376,0.315704,-0.000061,-0.080643,0.315994,-0.000031,-0.080994,0.129395,0.016632,-0.153046,0.005249,-0.007996,0.022537
381,0.315720,-0.000046,-0.080673,0.315994,-0.000031,-0.080994,0.102081,-0.025330,-0.302124,-0.007996,-0.053589,0.006760
386,0.315720,-0.000046,-0.080704,0.315994,-0.000031,-0.080994,0.132294,0.002594,0.028992,0.000824,0.040192,0.034302
